Feature,SHAP_Value,Absolute_Impact
Morgan_Bit_1060,1.0442966,1.0442966
Morgan_Bit_937,0.30102074,0.30102074
Morgan_Bit_1918,0.26827225,0.26827225
Morgan_Bit_1449,0.23707438,0.23707438
Morgan_Bit_1136,0.13537313,0.13537313
Morgan_Bit_1162,0.10742295,0.10742295
Morgan_Bit_1871,0.0784847,0.0784847
Morgan_Bit_29,0.07652858,0.07652858
Morgan_Bit_742,0.07611867,0.07611867
H-Bond Acceptors,0.0537379,0.0537379
Molecular Weight,0.053428117,0.053428117
Morgan_Bit_2026,0.04602833,0.04602833
Rotatable Bonds,0.041293316,0.041293316
Morgan_Bit_314,0.03645816,0.03645816
LogP,0.035923187,0.035923187
Morgan_Bit_1855,-0.033261973,0.033261973
TPSA,0.033052973,0.033052973
Morgan_Bit_1501,0.027110294,0.027110294
Morgan_Bit_216,-0.02578337,0.02578337
Ring Count,0.023230977,0.023230977
Morgan_Bit_634,0.02224963,0.02224963
Morgan_Bit_694,0.018066058,0.018066058
Morgan_Bit_1171,0.017375803,0.017375803
Morgan_Bit_718,0.017179903,0.017179903
Morgan_Bit_1452,0.016533718,0.016533718
Morgan_Bit_1416,0.015727945,0.015727945
Morgan_Bit_1063,0.015707513,0.015707513
Morgan_Bit_1035,0.015423328,0.015423328
Morgan_Bit_474,0.014563608,0.014563608
Morgan_Bit_859,-0.013054057,0.013054057
Morgan_Bit_389,0.012647038,0.012647038
Morgan_Bit_193,0.012597709,0.012597709
Morgan_Bit_679,0.012502594,0.012502594
Morgan_Bit_47,0.012450429,0.012450429
Morgan_Bit_84,0.0123171285,0.0123171285
Morgan_Bit_1129,0.010950949,0.010950949
Morgan_Bit_695,0.010499043,0.010499043
Morgan_Bit_1168,-0.010209965,0.010209965
Morgan_Bit_980,-0.010135639,0.010135639
Morgan_Bit_322,0.009911717,0.009911717
Morgan_Bit_1357,0.009587653,0.009587653
Morgan_Bit_749,0.009548581,0.009548581
Morgan_Bit_1928,-0.009446783,0.009446783
Morgan_Bit_191,0.008865067,0.008865067
Morgan_Bit_674,-0.008718358,0.008718358
Morgan_Bit_1088,0.008556852,0.008556852
Morgan_Bit_294,0.008439713,0.008439713
Morgan_Bit_296,0.008358634,0.008358634
Morgan_Bit_1126,0.008284135,0.008284135
Morgan_Bit_553,0.007822717,0.007822717
Morgan_Bit_59,0.007794188,0.007794188
Morgan_Bit_650,0.0077126585,0.0077126585
Morgan_Bit_94,0.0075065754,0.0075065754
Morgan_Bit_1722,-0.007160837,0.007160837
Morgan_Bit_1238,0.0071481103,0.0071481103
Morgan_Bit_374,-0.0071471664,0.0071471664
Morgan_Bit_1984,-0.006774167,0.006774167
Morgan_Bit_940,-0.0066770553,0.0066770553
Morgan_Bit_1005,0.006640335,0.006640335
Morgan_Bit_1631,0.0065288604,0.0065288604
Morgan_Bit_967,0.0063528856,0.0063528856
Morgan_Bit_393,0.0062495503,0.0062495503
Morgan_Bit_1905,0.00599344,0.00599344
Morgan_Bit_945,-0.005966731,0.005966731
Morgan_Bit_745,0.0058349916,0.0058349916
Morgan_Bit_1701,-0.005665704,0.005665704
Morgan_Bit_147,-0.005634603,0.005634603
Morgan_Bit_584,-0.0054385047,0.0054385047
Morgan_Bit_961,-0.005374392,0.005374392
Morgan_Bit_1468,0.0051982426,0.0051982426
Morgan_Bit_352,0.0050090384,0.0050090384
Morgan_Bit_1181,0.0049594715,0.0049594715
Morgan_Bit_305,0.004944129,0.004944129
Morgan_Bit_162,-0.0048970175,0.0048970175
Morgan_Bit_656,0.0047698836,0.0047698836
Morgan_Bit_831,0.0047567827,0.0047567827
Morgan_Bit_1731,-0.004653643,0.004653643
Morgan_Bit_589,-0.0044609136,0.0044609136
Morgan_Bit_1274,0.004367627,0.004367627
Morgan_Bit_807,0.004152478,0.004152478
Morgan_Bit_728,0.004121025,0.004121025
Morgan_Bit_1097,-0.004060305,0.004060305
Morgan_Bit_83,0.0040587685,0.0040587685
Morgan_Bit_841,0.0039744317,0.0039744317
Morgan_Bit_1019,0.0039604157,0.0039604157
Morgan_Bit_1700,-0.0038374537,0.0038374537
Morgan_Bit_80,-0.0038021088,0.0038021088
Morgan_Bit_630,0.0037570829,0.0037570829
Morgan_Bit_1218,0.003708923,0.003708923
Morgan_Bit_1724,0.003538014,0.003538014
Morgan_Bit_1264,0.0034398574,0.0034398574
Morgan_Bit_732,-0.0034321037,0.0034321037
Morgan_Bit_1160,-0.0034286515,0.0034286515
Morgan_Bit_492,0.0033030105,0.0033030105
Morgan_Bit_1443,-0.0032881738,0.0032881738
Morgan_Bit_1391,-0.0032879834,0.0032879834
Morgan_Bit_736,0.0032849463,0.0032849463
Morgan_Bit_1934,-0.0032648917,0.0032648917
Morgan_Bit_1236,0.0032591198,0.0032591198
Morgan_Bit_102,-0.0032102056,0.0032102056
Morgan_Bit_803,0.0031945815,0.0031945815
Morgan_Bit_1212,-0.003061996,0.003061996
Morgan_Bit_142,-0.0030520677,0.0030520677
Morgan_Bit_345,0.0030128965,0.0030128965
Morgan_Bit_1290,-0.0029935942,0.0029935942
Morgan_Bit_459,0.0029256372,0.0029256372
Morgan_Bit_1750,0.002913912,0.002913912
Morgan_Bit_432,-0.0029015562,0.0029015562
Morgan_Bit_699,-0.0028933575,0.0028933575
Morgan_Bit_378,0.0028378293,0.0028378293
Morgan_Bit_255,0.0027540154,0.0027540154
Morgan_Bit_254,0.0026820542,0.0026820542
Morgan_Bit_25,0.0026630778,0.0026630778
Morgan_Bit_107,0.0026586354,0.0026586354
Morgan_Bit_1535,-0.0025692882,0.0025692882
Morgan_Bit_1107,0.0025577964,0.0025577964
Morgan_Bit_1028,0.0025538306,0.0025538306
Morgan_Bit_2004,-0.0025092955,0.0025092955
Morgan_Bit_384,0.0024559312,0.0024559312
Morgan_Bit_1602,-0.0024465797,0.0024465797
Morgan_Bit_1564,0.0024018683,0.0024018683
Morgan_Bit_2041,-0.0023660217,0.0023660217
Morgan_Bit_1917,0.0022744178,0.0022744178
Morgan_Bit_524,-0.0022669644,0.0022669644
Morgan_Bit_51,-0.0022549962,0.0022549962
Morgan_Bit_2028,0.0022511021,0.0022511021
Morgan_Bit_957,-0.0021773535,0.0021773535
Morgan_Bit_319,-0.0021650125,0.0021650125
Morgan_Bit_9,0.0021221137,0.0021221137
Morgan_Bit_231,0.0020736603,0.0020736603
Morgan_Bit_1994,0.0020710742,0.0020710742
Morgan_Bit_1542,-0.0020683468,0.0020683468
Morgan_Bit_1932,0.0020550652,0.0020550652
Morgan_Bit_75,0.002005404,0.002005404
Morgan_Bit_479,0.0019973002,0.0019973002
Morgan_Bit_926,0.0018994089,0.0018994089
Morgan_Bit_818,-0.0018954169,0.0018954169
Morgan_Bit_964,-0.0018950592,0.0018950592
Morgan_Bit_866,-0.0018489563,0.0018489563
Morgan_Bit_1774,-0.0018291628,0.0018291628
Morgan_Bit_1199,0.0018284795,0.0018284795
Morgan_Bit_1329,-0.0018210215,0.0018210215
Morgan_Bit_865,0.0018103864,0.0018103864
Morgan_Bit_1518,0.001796435,0.001796435
Morgan_Bit_1499,-0.0017871656,0.0017871656
Morgan_Bit_716,-0.0017846298,0.0017846298
Morgan_Bit_1085,-0.0017726583,0.0017726583
Morgan_Bit_1799,0.0017356479,0.0017356479
Morgan_Bit_798,0.001735138,0.001735138
Morgan_Bit_155,-0.0017308728,0.0017308728
Morgan_Bit_785,-0.001710362,0.001710362
Morgan_Bit_92,0.0017032378,0.0017032378
Morgan_Bit_502,0.0016931265,0.0016931265
Morgan_Bit_1034,-0.0016921682,0.0016921682
Morgan_Bit_385,0.0016502098,0.0016502098
Morgan_Bit_291,-0.0016246988,0.0016246988
Morgan_Bit_2042,0.0016215506,0.0016215506
Morgan_Bit_1512,0.0016163979,0.0016163979
Morgan_Bit_1844,0.0015883436,0.0015883436
Morgan_Bit_579,0.0015830386,0.0015830386
Morgan_Bit_1753,0.0015809499,0.0015809499
Morgan_Bit_1777,0.0015529727,0.0015529727
Morgan_Bit_1638,0.0015460781,0.0015460781
Morgan_Bit_217,0.0015264133,0.0015264133
Morgan_Bit_671,0.0015260589,0.0015260589
Morgan_Bit_1347,0.0015208077,0.0015208077
Morgan_Bit_242,-0.00148554,0.00148554
Morgan_Bit_186,0.001471353,0.001471353
Morgan_Bit_328,-0.0014624347,0.0014624347
Morgan_Bit_1241,-0.0014597645,0.0014597645
Morgan_Bit_978,0.0014490115,0.0014490115
Morgan_Bit_249,-0.0014484281,0.0014484281
Morgan_Bit_430,-0.0014409227,0.0014409227
Morgan_Bit_1070,-0.001438684,0.001438684
Morgan_Bit_1430,-0.0014267424,0.0014267424
Morgan_Bit_1582,-0.0014262272,0.0014262272
Morgan_Bit_1998,-0.0014168788,0.0014168788
Morgan_Bit_1445,-0.0013993814,0.0013993814
Morgan_Bit_1683,-0.0013948488,0.0013948488
Morgan_Bit_847,-0.0013830403,0.0013830403
Morgan_Bit_1459,0.0013818257,0.0013818257
Morgan_Bit_1925,-0.0013802642,0.0013802642
Morgan_Bit_1453,0.0013714696,0.0013714696
Morgan_Bit_667,0.0013695773,0.0013695773
Morgan_Bit_1152,-0.0013688384,0.0013688384
Morgan_Bit_590,0.0013593874,0.0013593874
Morgan_Bit_350,-0.0013415042,0.0013415042
Morgan_Bit_261,0.0013289914,0.0013289914
Morgan_Bit_896,0.0013282028,0.0013282028
Morgan_Bit_1940,0.0013280404,0.0013280404
Morgan_Bit_1120,0.0013092661,0.0013092661
Morgan_Bit_1975,0.0013033521,0.0013033521
Morgan_Bit_614,0.0012965578,0.0012965578
Morgan_Bit_1366,-0.0012842288,0.0012842288
Morgan_Bit_921,0.0012712074,0.0012712074
Morgan_Bit_648,-0.0012458749,0.0012458749
Morgan_Bit_712,-0.0012398114,0.0012398114
Morgan_Bit_984,0.001228733,0.001228733
Morgan_Bit_1810,-0.0012178605,0.0012178605
Morgan_Bit_469,-0.0012153594,0.0012153594
Morgan_Bit_361,0.0012105338,0.0012105338
Morgan_Bit_1642,-0.0011831633,0.0011831633
Morgan_Bit_1069,0.0011831581,0.0011831581
Morgan_Bit_176,0.0011720918,0.0011720918
Morgan_Bit_1792,0.0011398232,0.0011398232
Morgan_Bit_816,-0.0011114682,0.0011114682
Morgan_Bit_362,0.0011102315,0.0011102315
Morgan_Bit_1778,0.0011092992,0.0011092992
Morgan_Bit_1823,0.0011028859,0.0011028859
Morgan_Bit_1308,0.0010840704,0.0010840704
Morgan_Bit_1609,0.0010773051,0.0010773051
Morgan_Bit_140,0.0010745244,0.0010745244
Morgan_Bit_1734,0.0010535246,0.0010535246
Morgan_Bit_281,-0.0010424387,0.0010424387
Morgan_Bit_561,-0.0010374313,0.0010374313
Morgan_Bit_1007,-0.0010155838,0.0010155838
Morgan_Bit_1302,0.0010151826,0.0010151826
Morgan_Bit_1840,0.0010139598,0.0010139598
Morgan_Bit_914,0.0009937324,0.0009937324
Morgan_Bit_213,0.0009901837,0.0009901837
Morgan_Bit_456,0.0009800536,0.0009800536
Morgan_Bit_127,-0.0009799738,0.0009799738
Morgan_Bit_379,-0.0009792295,0.0009792295
Morgan_Bit_1881,-0.0009721984,0.0009721984
Morgan_Bit_1,0.0009476271,0.0009476271
Morgan_Bit_283,0.0009425421,0.0009425421
Morgan_Bit_1325,-0.00094057166,0.00094057166
Morgan_Bit_1524,0.00093453727,0.00093453727
Morgan_Bit_772,-0.0009328825,0.0009328825
Morgan_Bit_31,0.0009247179,0.0009247179
Morgan_Bit_675,-0.0008967213,0.0008967213
Morgan_Bit_1475,-0.00088825286,0.00088825286
Morgan_Bit_114,0.0008819889,0.0008819889
Morgan_Bit_132,0.00088035694,0.00088035694
Morgan_Bit_1017,0.00087652897,0.00087652897
Morgan_Bit_26,0.0008741773,0.0008741773
Morgan_Bit_881,-0.00087390793,0.00087390793
Morgan_Bit_1128,0.0008656905,0.0008656905
Morgan_Bit_408,-0.000859105,0.000859105
Morgan_Bit_1157,0.0008556041,0.0008556041
Morgan_Bit_1816,-0.00084972964,0.00084972964
Morgan_Bit_45,-0.00084634067,0.00084634067
Morgan_Bit_1092,-0.000835685,0.000835685
Morgan_Bit_1057,-0.00082547835,0.00082547835
Morgan_Bit_781,-0.00082415534,0.00082415534
Morgan_Bit_440,-0.00081427826,0.00081427826
Morgan_Bit_837,-0.0008122138,0.0008122138
Morgan_Bit_1964,-0.000790302,0.000790302
Morgan_Bit_495,0.00079014554,0.00079014554
Morgan_Bit_1658,0.0007859212,0.0007859212
Morgan_Bit_1352,-0.00078437955,0.00078437955
Morgan_Bit_195,-0.00078040746,0.00078040746
Morgan_Bit_623,0.0007738819,0.0007738819
Morgan_Bit_1747,0.000772408,0.000772408
Morgan_Bit_437,-0.0007698429,0.0007698429
Morgan_Bit_351,-0.0007684665,0.0007684665
Morgan_Bit_211,0.0007673969,0.0007673969
Morgan_Bit_233,0.0007596052,0.0007596052
Morgan_Bit_622,-0.0007592909,0.0007592909
Morgan_Bit_932,0.0007577399,0.0007577399
Morgan_Bit_532,0.0007489511,0.0007489511
Morgan_Bit_2014,-0.00074395095,0.00074395095
Morgan_Bit_1154,0.00074058585,0.00074058585
Morgan_Bit_1669,-0.00074041926,0.00074041926
Morgan_Bit_1498,-0.00073810085,0.00073810085
Morgan_Bit_32,-0.00073607004,0.00073607004
Morgan_Bit_1704,0.0007353719,0.0007353719
Morgan_Bit_441,0.00073386787,0.00073386787
Morgan_Bit_286,-0.0007330905,0.0007330905
Morgan_Bit_1641,-0.0007300285,0.0007300285
Morgan_Bit_676,0.00072844484,0.00072844484
Morgan_Bit_1781,0.0007185447,0.0007185447
Morgan_Bit_425,0.0007179241,0.0007179241
Morgan_Bit_396,0.0007171154,0.0007171154
Morgan_Bit_909,-0.00071173965,0.00071173965
Morgan_Bit_241,-0.00071106665,0.00071106665
Morgan_Bit_154,-0.0006952012,0.0006952012
Morgan_Bit_22,-0.0006923552,0.0006923552
Morgan_Bit_1615,-0.0006883295,0.0006883295
Morgan_Bit_1607,-0.0006833854,0.0006833854
Morgan_Bit_1440,-0.000680988,0.000680988
Morgan_Bit_55,-0.0006673826,0.0006673826
Morgan_Bit_2033,-0.0006667112,0.0006667112
Morgan_Bit_885,0.0006642395,0.0006642395
Morgan_Bit_308,0.0006608854,0.0006608854
Morgan_Bit_750,-0.0006564399,0.0006564399
Morgan_Bit_1754,0.0006518187,0.0006518187
Morgan_Bit_245,-0.0006491907,0.0006491907
Morgan_Bit_309,-0.0006434008,0.0006434008
Morgan_Bit_1245,0.00063018204,0.00063018204
Morgan_Bit_888,0.00062580424,0.00062580424
Morgan_Bit_1552,0.000618883,0.000618883
Morgan_Bit_1234,-0.00061397965,0.00061397965
Morgan_Bit_715,-0.0006123679,0.0006123679
Morgan_Bit_464,-0.0006061991,0.0006061991
Morgan_Bit_1665,0.00059907854,0.00059907854
Morgan_Bit_54,0.0005928618,0.0005928618
Morgan_Bit_843,0.00058178755,0.00058178755
Morgan_Bit_1024,-0.0005800664,0.0005800664
Morgan_Bit_1101,-0.00057961815,0.00057961815
Morgan_Bit_602,0.00057364034,0.00057364034
Morgan_Bit_1586,0.0005668264,0.0005668264
Morgan_Bit_2018,-0.0005667446,0.0005667446
Morgan_Bit_1138,-0.0005659946,0.0005659946
Morgan_Bit_44,-0.0005637663,0.0005637663
Morgan_Bit_1365,0.0005620607,0.0005620607
Morgan_Bit_568,0.0005601991,0.0005601991
Morgan_Bit_251,-0.00055339513,0.00055339513
Morgan_Bit_95,0.0005530276,0.0005530276
Morgan_Bit_1573,0.0005527213,0.0005527213
Morgan_Bit_934,0.0005514127,0.0005514127
H-Bond Donors,0.0005429335,0.0005429335
Morgan_Bit_563,-0.00053981954,0.00053981954
Morgan_Bit_795,0.0005363022,0.0005363022
Morgan_Bit_2030,0.0005224093,0.0005224093
Morgan_Bit_1399,-0.00051922,0.00051922
Morgan_Bit_2000,-0.00051748473,0.00051748473
Morgan_Bit_354,0.0005156955,0.0005156955
Morgan_Bit_1446,0.00051337795,0.00051337795
Morgan_Bit_164,0.00051175704,0.00051175704
Morgan_Bit_167,-0.0005102866,0.0005102866
Morgan_Bit_153,-0.0005041333,0.0005041333
Morgan_Bit_1761,0.00050397747,0.00050397747
Morgan_Bit_930,0.00049595325,0.00049595325
Morgan_Bit_670,-0.0004948133,0.0004948133
Morgan_Bit_1714,0.0004904168,0.0004904168
Morgan_Bit_4,0.00048581275,0.00048581275
Morgan_Bit_1738,-0.00048458035,0.00048458035
Morgan_Bit_838,0.00048290778,0.00048290778
Morgan_Bit_278,0.0004792423,0.0004792423
Morgan_Bit_557,-0.00047731216,0.00047731216
Morgan_Bit_598,0.0004768049,0.0004768049
Morgan_Bit_1600,0.00047457236,0.00047457236
Morgan_Bit_315,-0.00047268363,0.00047268363
Morgan_Bit_552,0.00046901478,0.00046901478
Morgan_Bit_1970,-0.00046442487,0.00046442487
Morgan_Bit_287,0.00046362524,0.00046362524
Morgan_Bit_933,0.00046280515,0.00046280515
Morgan_Bit_237,0.00046144094,0.00046144094
Morgan_Bit_235,0.00045518854,0.00045518854
Morgan_Bit_6,0.0004549488,0.0004549488
Morgan_Bit_714,0.00045111388,0.00045111388
Morgan_Bit_998,-0.0004508181,0.0004508181
