canonical_smiles,molecule_chembl_id,pchembl_value,standard_units,standard_value,units,value,pIC50,Activity Class,Valid_SMILES,Molecular_Weight,LogP,TPSA,H_Bond_Donors,H_Bond_Acceptors,Rotatable_Bonds,Ring_Count,Lipinski_Violations,Drug_Likeness,Predicted_pIC50,Absorption_Score,Permeability_Score,DrugLikeness_Score,ADMET_Proxy_Score,ADMET_Profile,Activity_Score,Target_Confidence,Lead_Score,Lead_Score_Percent,Scaffold,Fraction_CSP3,Heavy_Atom_Count,Aromatic_Rings,NHOH_Count,NO_Count,BBB_Suitability,BBB_Profile,Solubility_Score,Developability_Score,Advanced_ADMET_Score,Advanced_ADMET_Profile,Final_Lead_Score,Final_Lead_Score_Percent,Rank
CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CCC3)cc1[C@@]21N=C(C)C(N)=N1,CHEMBL3927449,8.89,nM,1.3,nM,1.3,8.886056647693163,Highly Active,True,381.52000000000015,3.9815000000000023,69.2,1,5,4,5,0,Pass,8.816715,1.0,1.0,1.0,1.0,Favourable,0.9484649,0.897767398252352,0.9691208051390581,96.9120805139058,C1=NC2(N=C1)c1cc(OCC3CCC3)ccc1CC21CCCCC1,0.6521739130434783,28,1,2,5,1.0,High Suitability,0.8,1.0,0.9600000000000001,Favourable,0.9576556787490845,95.76556787490846,1
CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CCC3)cc1C21N=C(C)C(N)=N1,CHEMBL3961886,8.82,nM,1.5,nM,1.5,8.823908740944319,Highly Active,True,381.52000000000015,3.9815000000000023,69.2,1,5,4,5,0,Pass,8.816715,1.0,1.0,1.0,1.0,Favourable,0.9484649,0.897767398252352,0.9691208051390581,96.9120805139058,C1=NC2(N=C1)c1cc(OCC3CCC3)ccc1CC21CCCCC1,0.6521739130434783,28,1,2,5,1.0,High Suitability,0.8,1.0,0.9600000000000001,Favourable,0.9576556787490845,95.76556787490846,2
CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3)cc1[C@@]21N=C(C)C(N)=N1,CHEMBL3937398,9.05,nM,0.9,nM,0.9,9.045757490560675,Highly Active,True,367.4930000000001,3.591400000000002,69.2,1,5,4,5,0,Pass,8.810974,1.0,1.0,1.0,1.0,Favourable,0.94751954,0.897767398252352,0.9686481403059892,96.86481403059892,C1=NC2(N=C1)c1cc(OCC3CC3)ccc1CC21CCCCC1,0.6363636363636364,27,1,2,5,1.0,High Suitability,0.8,1.0,0.9600000000000001,Favourable,0.9571357474327088,95.71357474327088,3
CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3)cc1C21N=C(C)C(N)=N1,CHEMBL3923244,8.80,nM,1.6,nM,1.6,8.795880017344075,Highly Active,True,367.4930000000001,3.591400000000002,69.2,1,5,4,5,0,Pass,8.810974,1.0,1.0,1.0,1.0,Favourable,0.94751954,0.897767398252352,0.9686481403059892,96.86481403059892,C1=NC2(N=C1)c1cc(OCC3CC3)ccc1CC21CCCCC1,0.6363636363636364,27,1,2,5,1.0,High Suitability,0.8,1.0,0.9600000000000001,Favourable,0.9571357474327088,95.71357474327088,4
CC#Cc1cncc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,CHEMBL2152914,8.66,nM,2.2,nM,2.2,8.657577319177793,Highly Active,True,412.53700000000026,4.236000000000003,72.86,1,5,2,5,0,Pass,8.885371,1.0,1.0,1.0,1.0,Favourable,0.95977044,0.897767398252352,0.9747735904402666,97.47735904402666,C1=NC2(N=C1)c1cc(-c3cccnc3)ccc1CC21CCCCC1,0.4230769230769231,31,2,2,5,1.0,High Suitability,0.6000000000000001,1.0,0.92,Favourable,0.9498737545013428,94.98737545013428,5
CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,CHEMBL3989948,8.92,nM,1.2,nM,1.2,8.920818753952375,Highly Active,True,412.53700000000026,4.236000000000003,72.86,1,5,2,5,0,Pass,8.885371,1.0,1.0,1.0,1.0,Favourable,0.95977044,0.897767398252352,0.9747735904402666,97.47735904402666,C1=NC2(N=C1)c1cc(-c3cccnc3)ccc1CC21CCCCC1,0.4230769230769231,31,2,2,5,1.0,High Suitability,0.6000000000000001,1.0,0.92,Favourable,0.9498737545013428,94.98737545013428,6
CC#Cc1cccc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,CHEMBL2151058,8.85,nM,1.4,nM,1.4,8.853871964321762,Highly Active,True,411.54900000000026,4.841000000000005,59.97,1,4,2,5,0,Pass,8.777094,1.0,1.0,1.0,1.0,Favourable,0.94194055,0.897767398252352,0.9658586429305009,96.5858642930501,C1=NC2(N=C1)c1cc(-c3ccccc3)ccc1CC21CCCCC1,0.4074074074074074,31,2,2,4,1.0,High Suitability,0.6000000000000001,1.0,0.92,Favourable,0.9400673003196717,94.00673003196717,7
CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cc(Cl)cc(C#N)c3)cc1C21N=C(C)C(N)=N1,CHEMBL2152915,8.80,nM,1.6,nM,1.6,8.795880017344075,Highly Active,True,432.9550000000002,4.994680000000006,83.75999999999999,1,5,2,5,0,Pass,8.746442,1.0,1.0,1.0,1.0,Favourable,0.9368931,0.897767398252352,0.9633349226660661,96.33349226660661,C1=NC2(N=C1)c1cc(-c3ccccc3)ccc1CC21CCCCC1,0.4,31,2,2,5,1.0,High Suitability,0.6000000000000001,1.0,0.92,Favourable,0.9372912139892579,93.72912139892578,8
CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCCC3CC3)cc1C21N=C(C)C(N)=N1,CHEMBL3939963,9.10,nM,0.8,nM,0.8,9.096910013008056,Highly Active,True,381.52000000000015,3.9815000000000023,69.2,1,5,5,5,0,Pass,8.5437,1.0,1.0,1.0,1.0,Favourable,0.9035077,0.897767398252352,0.9466422246642046,94.66422246642045,C1=NC2(N=C1)c1cc(OCCC3CC3)ccc1CC21CCCCC1,0.6521739130434783,28,1,2,5,1.0,High Suitability,0.8,1.0,0.9600000000000001,Favourable,0.9329292581081391,93.29292581081391,9
COC1CCC2(CC1)Cc1ccc(-c3cc(C)cc(C#N)c3)cc1C21N=C(C)C(N)=N1,CHEMBL6009393,8.59,nM,2.6,nM,2.6,8.585026652029182,Highly Active,True,412.5370000000002,4.649700000000005,83.75999999999999,1,5,2,5,0,Pass,8.6570835,1.0,1.0,1.0,1.0,Favourable,0.9221785,0.897767398252352,0.9559776233382158,95.59776233382158,C1=NC2(N=C1)c1cc(-c3ccccc3)ccc1CC21CCCCC1,0.4230769230769231,31,2,2,5,1.0,High Suitability,0.6000000000000001,1.0,0.92,Favourable,0.9291982145309449,92.91982145309449,10
